product_link;award_link;vintage;grade;contributor
https://www.gall.nl/valdivieso-merlot-rood-75cl-387622.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387622;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;Oogstjaar 2015;Omfietswijn;Oogstjaar 2016
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;;89 punten;Falstaff Wine Guide
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;Oogstjaar 2017;91 punten;James Suckling
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;Oogstjaar 2018;91 punten;Wine Advocate
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;Oogstjaar 2019;8.5;De Grote Hamersma
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387312;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/bruce-jack-sauvignon-blanc-wit-75cl-145122.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=145122;Oogstjaar 2020;9-;De Grote Hamersma
https://www.gall.nl/bruce-jack-sauvignon-blanc-wit-75cl-145122.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=145122;Oogstjaar 2021;9;De Grote Hamersma
https://www.gall.nl/cap-royal-cuvee-tradition-rood-75cl-415138.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=415138;Oogstjaar 2019;9-;De Grote Hamersma
https://www.gall.nl/la-palma-merlot-rood-75cl-388025.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388025;Oogstjaar 2020;8+;De Grote Hamersma
https://www.gall.nl/la-palma-merlot-rood-75cl-388025.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388025;Oogstjaar 2021;8+;De Grote Hamersma
https://www.gall.nl/la-palma-merlot-rood-75cl-388025.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388025;Oogstjaar 2022;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387835;Oogstjaar 2013;90 punten;Guía Peñín
https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387835;Oogstjaar 2015;90 punten;Wine Advocate
https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387835;Oogstjaar 2019;8;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387835;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387835;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/valdivieso-sauvignon-blanc-wit-75cl-387630.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387630;Oogstjaar 2020;7.5;De Grote Hamersma
https://www.gall.nl/valdivieso-sauvignon-blanc-wit-75cl-387630.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387630;Oogstjaar 2021;8;De Grote Hamersma
https://www.gall.nl/valdivieso-sauvignon-blanc-wit-75cl-387630.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387630;Oogstjaar 2022;8+;De Grote Hamersma
https://www.gall.nl/piccini-memoro-rosso-rood-75cl-100803.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=100803;Oogstjaar 2019;9-;De Grote Hamersma
https://www.gall.nl/piccini-memoro-rosso-rood-75cl-100803.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=100803;Oogstjaar 2020;9-;De Grote Hamersma
https://www.gall.nl/piccini-memoro-rosso-rood-75cl-100803.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=100803;Oogstjaar 0000;Gouden punten;Decanter
https://www.gall.nl/piccini-memoro-rosso-rood-75cl-100803.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=100803;;Zilveren medaille;International Wine & Spirits Competition
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2013;8;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2014;7.5;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2015;7.5;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2016;7.5;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2017;8;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2018;8;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2019;8 -;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2020;8;De Grote Hamersma
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387614;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-carmenere-rood-75cl-383708.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=383708;Oogstjaar 2014;Bronzen medaille;International Wine & Spirits Competition
https://www.gall.nl/la-palma-reserva-carmenere-rood-75cl-383708.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=383708;Oogstjaar 2017;Zilveren punten;Decanter
https://www.gall.nl/la-palma-reserva-carmenere-rood-75cl-383708.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=383708;Oogstjaar 2019;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-carmenere-rood-75cl-383708.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=383708;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-carmenere-rood-75cl-383708.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=383708;Oogstjaar 2021;9;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-chardonnay-wit-75cl-387843.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387843;Oogstjaar 2016;88 punten;Guía Peñín
https://www.gall.nl/la-palma-reserva-chardonnay-wit-75cl-387843.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387843;Oogstjaar 2020;8;De Grote Hamersma
https://www.gall.nl/la-palma-reserva-chardonnay-wit-75cl-387843.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387843;Oogstjaar 2021;8-;De Grote Hamersma
https://www.gall.nl/stonelake-chardonnay-wit-75cl-117358.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=117358;Oogstjaar 2019;8-;De Grote Hamersma
https://www.gall.nl/arrogant-frog-single-vineyard-chardonnay-les-cres-wit-75cl-128961.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=128961;Oogstjaar 2020;8;De Grote Hamersma
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;Oogstjaar 2016;4 sterren;Michael Cooper
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;Oogstjaar 2018;Zilveren medaille;Decanter
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;;Zilveren medaille;International Wine Challenge
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;Oogstjaar 2019;8;De Grote Hamersma
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;Oogstjaar 2020;Bronzen medaille;International Wine Challenge
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=386936;Oogstjaar 2022;8.5;De Grote Hamersma
https://www.gall.nl/argento-seleccion-chardonnay-wit-75cl-388971.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388971;Oogstjaar 2015;Bronze medaille;International Wine & Spirits Competition
https://www.gall.nl/argento-seleccion-chardonnay-wit-75cl-388971.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388971;Oogstjaar 2017;bronze punten;Decanter
https://www.gall.nl/argento-seleccion-chardonnay-wit-75cl-388971.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388971;;bronze medaille;International Wine Challenge
https://www.gall.nl/argento-seleccion-chardonnay-wit-75cl-388971.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388971;Oogstjaar 2021;8;De Grote Hamersma
https://www.gall.nl/valdivieso-winemakers-reserva-cabernet-sauvignon-rood-75cl-387568.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387568;Oogstjaar 2019;8;De Grote Hamersma
https://www.gall.nl/valdivieso-winemakers-reserva-cabernet-sauvignon-rood-75cl-387568.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387568;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=380350;Oogstjaar 2015;88 punten;Wine Advocate
https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=380350;Oogstjaar 2016;90 punten;Tim Atkin
https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=380350;Oogstjaar 2017;90 punten;Wine Enthusiast
https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=380350;Oogstjaar 2018;4.5 sterren;Platter's Wine Guide
https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=380350;Oogstjaar 2019;8;De Grote Hamersma
https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=380350;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/valdivieso-winemakers-reserva-chardonnay-wit-75cl-387681.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387681;Oogstjaar 2020;8+;De Grote Hamersma
https://www.gall.nl/valdivieso-winemakers-reserva-chardonnay-wit-75cl-387681.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387681;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/yealands-reserve-sauvignon-blanc-wit-75cl-382795.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=382795;Oogstjaar 2020;91 punten;James Suckling
https://www.gall.nl/yealands-reserve-sauvignon-blanc-wit-75cl-382795.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=382795;Oogstjaar 2021;9;De Grote Hamersma
https://www.gall.nl/beacon-hill-sauvignon-blanc-wit-75cl-120049.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=120049;Oogstjaar 2019;7.5;De Grote Hamersma
https://www.gall.nl/arrogant-frog-malbec-syrah-rood-75cl-102598.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=102598;Oogstjaar 2015;Zilver punten;Decanter
https://www.gall.nl/arrogant-frog-malbec-syrah-rood-75cl-102598.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=102598;Oogstjaar 2016;Zilver punten;Mundus Vini
https://www.gall.nl/arrogant-frog-malbec-syrah-rood-75cl-102598.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=102598;Oogstjaar 2019;7.5;De Grote Hamersma
https://www.gall.nl/arrogant-frog-malbec-syrah-rood-75cl-102598.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=102598;Oogstjaar 2020;8;De Grote Hamersma
https://www.gall.nl/arrogant-frog-malbec-syrah-rood-75cl-102598.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=102598;Oogstjaar 2021;7.5;De Grote Hamersma
https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259756;Oogstjaar 2014;8;De Grote Hamersma
https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259756;Oogstjaar 2015;Bronzen medaille;International Wine Challenge
https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259756;Oogstjaar 2016;Zilveren punten;Decanter
https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259756;Oogstjaar 2017;Zilveren punten;Decanter
https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259756;Oogstjaar 2018;Zilveren medaille;International Wine Challenge
https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259756;Oogstjaar 2019;8+;De Grote Hamersma
https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=307920;Oogstjaar 2012;91 punten;Guía Peñín
https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=307920;Oogstjaar 2013;Bronzen medaille;International Wine Challenge
https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=307920;Oogstjaar 2014;Bronzen medaille;International Wine & Spirits Competition
https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=307920;Oogstjaar 2015;Gouden punten;Gilbert and Gaillard
https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=307920;Oogstjaar 2016;93 punten;James Suckling
https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=307920;;92 punten;Tim Atkin
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;Oogstjaar 2013;Omfietswijn;Oogstjaar 2015
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;;89 punten;Wine Spectator
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;Oogstjaar 2016;90 punten;Wine Advocate
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;Oogstjaar 2018;90 punten;James Suckling
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387320;Oogstjaar 2022;8.5;De Grote Hamersma
https://www.gall.nl/montenay-cabernet-sauvignon-rood-75cl-196177.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=196177;Oogstjaar 2017;Recommended punten;Decanter
https://www.gall.nl/montenay-cabernet-sauvignon-rood-75cl-196177.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=196177;Oogstjaar 2018;7.5;De Grote Hamersma
https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=389773;Oogstjaar 2015;3 sterren;Michael Cooper
https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=389773;Oogstjaar 2018;Brons medaille;International Wine & Spirits Competition
https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=389773;Oogstjaar 2020;8+;De Grote Hamersma
https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=389773;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=389773;Oogstjaar 2022;8.5;De Grote Hamersma
https://www.gall.nl/baumgartner-gr%C3%BCner-veltliner-wit-75cl-219819.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=219819;Oogstjaar 2018;Zilver medaille;International Wine & Spirits Competition
https://www.gall.nl/baumgartner-gr%C3%BCner-veltliner-wit-75cl-219819.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=219819;Oogstjaar 2019;Zilveren punten;Mundus Vini
https://www.gall.nl/baumgartner-gr%C3%BCner-veltliner-wit-75cl-219819.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=219819;Oogstjaar 2020;7.5;De Grote Hamersma
https://www.gall.nl/bruce-jack-shiraz-rood-75cl-145130.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=145130;Oogstjaar 2018;7.5;De Grote Hamersma
https://www.gall.nl/echo-chardonnay-wit-75cl-163848.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=163848;Oogstjaar 2020;7.5;De Grote Hamersma
https://www.gall.nl/echo-chardonnay-wit-75cl-163848.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=163848;Oogstjaar 2021;7.5;De Grote Hamersma
https://www.gall.nl/arrogant-frog-single-vineyard-cabernet-sauvignon-les-calades-rood-75cl-128937.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=128937;Oogstjaar 2018;8;De Grote Hamersma
https://www.gall.nl/arrogant-frog-single-vineyard-cabernet-sauvignon-les-calades-rood-75cl-128937.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=128937;Oogstjaar 2019;8;De Grote Hamersma
https://www.gall.nl/arrogant-frog-single-vineyard-cabernet-sauvignon-les-calades-rood-75cl-128937.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=128937;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/oto%C3%B1al-rioja-crianza-rood-75cl-309818.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=309818;Oogstjaar 2012;7.5;De Grote Hamersma
https://www.gall.nl/oto%C3%B1al-rioja-crianza-rood-75cl-309818.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=309818;Oogstjaar 2013;Bronzen medaille;International Wine & Spirits Competition
https://www.gall.nl/oto%C3%B1al-rioja-crianza-rood-75cl-309818.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=309818;Oogstjaar 2014;84 punten;Guía Peñín
https://www.gall.nl/oto%C3%B1al-rioja-crianza-rood-75cl-309818.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=309818;Oogstjaar 2015;Bronzen punten;Decanter
